epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.820504818412421,inf,inf,inf,6.8218225,0.374,1.55,0,0,0,5.9e-06
1,6.7004268462899965,inf,inf,inf,6.65842375,0.792,2.978,0,0,0,1.0800000000000002e-05
2,6.559361380543545,inf,inf,inf,6.51485875,1.24,4.492,0,0,0,1.5700000000000002e-05
3,6.313004634744353,inf,inf,inf,6.27308625,2.358,7.292,0,0,0,2.0600000000000003e-05
4,6.072936033554596,inf,inf,inf,5.8820875,4.38,12.436,0,0,0,2.5500000000000003e-05
5,5.8461051626647595,inf,inf,inf,5.4617925,7.242,19.134,0,0,0,3.0400000000000007e-05
6,5.6037703108349195,inf,inf,inf,5.0609575,10.656,25.834,0,0,0,3.5300000000000004e-05
7,5.334330881814019,inf,inf,inf,4.66952,14.652,32.614,0,0,0,4.02e-05
8,5.044909805416775,inf,inf,inf,4.23557125,19.786,40.45,0,0,0,4.5100000000000005e-05
9,4.774061332837188,inf,inf,inf,3.78944,25.65,48.492,0,0,0,4.9842294026289564e-05
10,4.505772679877414,inf,inf,inf,3.3836975,31.556,56.114,0,0,0,4.9809228513933027e-05
11,4.255493956075298,inf,inf,inf,3.0340025,37.38,62.316,0,0,0,4.977303489475828e-05
12,4.054731122690806,inf,inf,inf,2.74210875,42.13,67.184,0,0,0,4.973371888415736e-05
13,3.881352721930122,inf,inf,inf,2.5005375,46.382,71.034,0,0,0,4.969128669058411e-05
14,3.7202413668163676,inf,inf,inf,2.303298125,49.982,74.378,0,0,0,4.964574501457378e-05
15,3.594366045021039,inf,inf,inf,2.14032625,52.942,76.89,0,0,0,4.959710104768494e-05
16,3.4654148610280475,inf,inf,inf,2.006500625,55.56,78.864,0,0,0,4.954536247136387e-05
17,3.3657106806238968,inf,inf,inf,1.894854375,57.8,80.506,0,0,0,4.949053745573155e-05
18,3.2851942602774318,inf,inf,inf,1.799875625,59.688,81.962,0,0,0,4.943263465829348e-05
19,3.1916470346595647,inf,inf,inf,1.71983875,61.362,83.2,0,0,0,4.9371663222572624e-05
20,3.117389905509903,inf,inf,inf,1.650798125,62.73,84.112,0,0,0,4.930763277666548e-05
21,3.0454408555960866,inf,inf,inf,1.591766875,63.992,85.01,0,0,0,4.924055343172172e-05
22,3.006369623015348,inf,inf,inf,1.540409375,65.054,85.784,0,0,0,4.917043578034752e-05
23,2.942328687051503,inf,inf,inf,1.496775625,65.976,86.428,0,0,0,4.9097290894932865e-05
